Rank,Name,RushAtt,RushYds,RushTds,Targets,Receptions,RecYds,RecTds,TotTD,TotTouch,FPPG,FP
54,Jaleel McLaughlin,76,410,1,36,31,160,2,3,107,4.4,75
55,Rico Dowdle,89,361,2,22,17,144,2,4,106,4.7,74.5
56,Samaje Perine,53,238,1,56,50,455,0,1,103,4.2,71.3
57,Latavius Murray,79,300,4,22,17,119,0,4,96,4.1,65.9
58,Clyde Edwards-Helaire,70,223,1,22,17,188,1,2,87,3.5,53.1
59,Dalvin Cook,67,214,0,20,15,78,0,0,82,1.7,25.2
60,Elijah Mitchell,75,281,2,8,6,14,0,2,81,3.8,41.5
61,Emari Demercado,58,284,2,30,21,119,0,2,79,3.7,52.3
62,Royce Freeman,77,319,2,2,1,13,0,2,78,4.1,45.2
63,Matt Breida,55,151,1,21,17,88,0,1,72,1.8,29.9
64,Cam Akers,60,167,2,12,11,70,0,2,71,5.1,35.7
65,Pierre Strong Jr.,63,291,1,8,5,47,0,1,68,2.2,37.8
66,Chase Edmonds,49,176,0,17,14,81,0,0,63,2,25.7
67,Cordarrelle Patterson,50,181,0,12,9,38,1,1,59,2,27.9
68,Chase Brown,44,179,0,15,14,156,1,1,58,3.3,39.5
69,Keaton Mitchell,47,396,2,11,9,93,0,2,56,8.7,60.9
70,Darrell Henderson Jr.,46,112,2,14,10,103,0,2,56,8.4,33.5
71,Jeff Wilson Jr.,41,188,0,17,14,85,0,0,55,2.7,27.3
72,Michael Carter,30,187,0,31,24,101,1,1,54,2.3,34.8
73,Chris Rodriguez Jr.,51,247,2,2,2,12,0,2,53,3.3,35.9
74,Kendre Miller,41,156,1,11,10,117,0,1,51,4.2,33.3
75,D'Ernest Johnson,41,108,0,12,10,140,0,0,51,1.5,24.8
76,Tank Bigsby,50,132,2,4,1,6,0,2,51,1.4,21.8
77,Jerick McKinnon,21,60,1,32,25,192,4,5,46,5,59.4
78,Craig Reynolds,41,179,1,5,5,47,0,1,46,1.6,24.6
79,Jordan Mason,40,206,3,4,3,31,0,3,43,2.6,41.7
80,Patrick Taylor Jr.,32,141,0,17,11,49,0,0,43,1.7,19
81,Isaiah Spiller,37,96,0,6,6,34,0,0,43,1.4,13
82,Darrynton Evans,32,121,1,12,7,49,0,1,39,3.8,23
83,Keaontay Ingram,35,74,0,4,4,26,0,0,39,1.4,10
84,Salvon Ahmed,22,61,1,23,16,88,1,2,38,3,26.9
85,Trey Sermon,35,160,0,6,3,13,0,0,38,1.4,17.3
86,Ty Johnson,30,132,0,7,7,62,1,1,37,2.8,25.4
87,Ronnie Rivers,32,129,0,5,5,22,0,0,37,1.7,15.1
88,Ameer Abdullah,15,89,0,24,19,131,0,0,34,1.3,22
89,Tony Jones Jr.,26,95,2,10,7,37,0,2,33,3.6,25.2
90,Nick Chubb,28,170,0,4,4,21,0,0,32,9.6,19.1
91,Deuce Vaughn,23,40,0,7,7,40,0,0,30,1.1,8
92,Melvin Gordon III,26,81,1,3,3,46,0,1,29,4.2,16.7
93,Israel Abanikanda,22,70,0,11,7,43,0,0,29,1.3,9.3
94,Ke'Shawn Vaughn,24,42,0,5,2,2,0,0,26,0.9,4.4
95,Damien Harris,23,94,1,2,2,16,0,1,25,2.4,17
96,La'Mical Perine,22,77,0,5,3,33,0,0,25,2.2,11
97,Boston Scott,20,86,0,6,4,52,0,0,24,1,11.8
98,Eric Gray,17,48,0,7,6,22,0,0,23,0.5,7
99,Trayveon Williams,15,69,0,9,7,10,0,0,22,0.5,7.9
100,Raheem Blackshear,14,46,0,7,6,45,0,0,20,1,11.1
101,Kyle Juszczyk,5,6,0,17,14,119,2,2,19,1.4,24.5
102,Kevin Harris,16,65,1,3,3,58,0,1,19,4.6,18.3
103,Tyler Goodson,13,87,0,9,6,34,0,0,19,2,12.1
104,Chris Brooks,19,106,0,0,0,0,0,0,19,2.7,10.6
105,Deon Jackson,14,16,0,6,5,14,0,0,19,-0.5,-1
106,Emanuel Wilson,14,85,0,5,4,23,0,0,18,1.5,10.8
107,Sean Tucker,15,23,0,2,2,9,0,0,17,0.6,3.2
108,DeeJay Dallas,10,36,0,9,6,26,0,0,16,0.1,2.2
109,Andrew Beck,5,3,1,13,11,55,2,3,16,0,0
110,Alec Ingold,2,0,0,16,13,119,0,0,15,0.7,11.9
111,Gary Brightwell,9,19,0,7,5,47,0,0,14,1.7,6.6
112,Damien Williams,11,43,0,2,2,12,0,0,13,1.8,5.5
113,Mike Boone,5,23,0,9,7,40,0,0,12,0.7,6.3
114,Leonard Fournette,12,40,0,0,0,0,0,0,12,2,4
115,Rashaad Penny,11,33,0,1,1,5,0,0,12,1.3,3.8
116,Khari Blasingame,8,26,0,6,3,2,0,0,11,0.2,2.8
117,J.K. Dobbins,8,22,1,3,2,15,0,1,10,9.7,9.7
118,Dare Ogunbowale,8,35,0,7,2,18,0,0,10,0.8,8.3
119,Michael Burton,7,9,0,3,3,8,0,0,10,0.2,3.7
120,Hunter Luepke,6,19,1,4,3,18,0,1,9,0.6,9.7
121,Zach Evans,9,19,0,0,0,0,0,0,9,0.5,1.9
122,Ty Montgomery II,3,9,0,12,5,40,0,0,8,0.4,4.9
123,C.J. Ham,1,7,0,9,7,25,0,0,8,0.2,3.2
124,Tyrion Davis-Price,6,21,0,0,0,0,0,0,6,2.1,2.1
125,Elijah Dotson,4,6,0,2,2,13,0,0,6,0.5,1.9
126,Patrick Ricard,0,0,0,7,5,52,1,1,5,0.7,11.2
127,Nick Bawden,2,4,1,3,3,21,0,1,5,0.5,8.5
128,Kene Nwangwu,5,13,0,0,0,0,0,0,5,0.2,1.3
129,Brandon Bolden,4,31,1,0,0,0,0,1,4,2.2,11.1
130,Zonovan Knight,3,13,0,1,1,8,0,0,4,1.1,2.1
131,Devine Ozigbo,3,5,0,1,1,8,0,0,4,0.7,1.3
132,Jashaun Corbin,1,1,0,3,3,12,0,0,4,0.4,1.3
133,Kenyan Drake,2,0,0,3,2,31,0,0,4,0.4,1.1
134,Adam Prentice,2,12,0,3,2,12,0,0,4,0,0.4
135,Keith Smith,0,0,0,3,3,33,0,0,3,0.3,3.3
136,Derrick Gore,3,26,0,0,0,0,0,0,3,0.5,2.6
137,Jake Funk,2,10,0,1,1,12,0,0,3,2.2,2.2
138,Alex Armah Jr.,0,0,0,3,3,13,0,0,3,0.2,1.3
139,Jonathan Ward,3,11,0,0,0,0,0,0,3,0.2,1.1
140,Chris Evans,2,12,0,1,1,-1,0,0,3,0.2,1.1
141,Anthony McFarland Jr.,0,0,0,2,2,11,0,0,2,0.4,1.1
142,Evan Hull,1,1,0,1,1,6,0,0,2,0.7,0.7
143,James Robinson,1,2,0,1,1,-2,0,0,2,0,0
144,Jacob Johnson,0,0,0,2,1,12,0,0,1,0.1,1.2
145,Reggie Gilliam,0,0,0,1,1,3,0,0,1,0,0.3
146,Jason Cabinda,1,0,0,0,0,0,0,0,1,0,0
147,Jonathan Williams,1,-2,0,1,0,0,0,0,1,-0.2,-0.2
148,J.J. Taylor,0,0,0,0,0,0,0,0,0,0,0
149,Kirk Merritt,0,0,0,0,0,0,0,0,0,0,0
150,JaMycal Hasty,0,0,0,2,0,0,0,0,0,0,0
151,Mike Weber,0,0,0,0,0,0,0,0,0,0,0
152,Travis Homer,0,0,0,1,0,0,0,0,0,0,0
153,Austin Walter,0,0,0,0,0,0,0,0,0,0,0
154,Jermar Jefferson,0,0,0,0,0,0,0,0,0,0,0
155,Demetric Felton Jr.,0,0,0,0,0,0,0,0,0,0,0
156,Elijah Collins,0,0,0,0,0,0,0,0,0,0,0
157,Jaret Patterson,0,0,0,0,0,0,0,0,0,0,0
158,Mohamed Ibrahim,0,0,0,0,0,0,0,0,0,0,0
159,Xazavian Valladay,0,0,0,0,0,0,0,0,0,0,0
160,Trey Benson,0,0,0,0,0,0,0,0,0,0,0
161,Kenny McIntosh,0,0,0,0,0,0,0,0,0,0,0
162,Dylan McDuffie,0,0,0,0,0,0,0,0,0,0,0
163,DeWayne McBride,0,0,0,0,0,0,0,0,0,0,0
164,Lew Nichols III,0,0,0,0,0,0,0,0,0,0,0
165,Jack Colletto,0,0,0,0,0,0,0,0,0,0,0
166,SaRodorick Thompson Jr.,0,0,0,0,0,0,0,0,0,0,0
167,Derek Parish,0,0,0,0,0,0,0,0,0,0,0
168,Jabari Small,0,0,0,0,0,0,0,0,0,0,0
169,Brittain Brown,0,0,0,0,0,0,0,0,0,0,0
170,Troy Hairston II,0,0,0,0,0,0,0,0,0,0,0
171,Aaron Shampklin,0,0,0,0,0,0,0,0,0,0,0
172,Tyreik McAllister,0,0,0,0,0,0,0,0,0,0,0
173,Julius Chestnut,0,0,0,0,0,0,0,0,0,0,0
174,Carlos Washington Jr.,0,0,0,0,0,0,0,0,0,0,0
175,Braelon Allen,0,0,0,0,0,0,0,0,0,0,0
176,Jaden Shirden,0,0,0,0,0,0,0,0,0,0,0
177,Louis Rees-Zammit,0,0,0,0,0,0,0,0,0,0,0
178,Aidan Robbins,0,0,0,0,0,0,0,0,0,0,0
179,Austin Jones,0,0,0,0,0,0,0,0,0,0,0
180,Deshaun Fenwick,0,0,0,0,0,0,0,0,0,0,0
181,Isaac Guerendo,0,0,0,0,0,0,0,0,0,0,0
182,Blake Watson,0,0,0,0,0,0,0,0,0,0,0
183,Michael Wiley,0,0,0,0,0,0,0,0,0,0,0
184,Carson Steele,0,0,0,0,0,0,0,0,0,0,0
185,Kimani Vidal,0,0,0,0,0,0,0,0,0,0,0
186,Ramon Jefferson,0,0,0,0,0,0,0,0,0,0,0
187,Emani Bailey,0,0,0,0,0,0,0,0,0,0,0
188,Jawhar Jordan,0,0,0,0,0,0,0,0,0,0,0
189,Sione Vaki,0,0,0,0,0,0,0,0,0,0,0
190,Dillon Johnson,0,0,0,0,0,0,0,0,0,0,0
191,Cody Schrader,0,0,0,0,0,0,0,0,0,0,0
192,Dante Miller,0,0,0,0,0,0,0,0,0,0,0
193,Jacob Kibodi,0,0,0,0,0,0,0,0,0,0,0
194,Ray Davis,0,0,0,0,0,0,0,0,0,0,0
195,Trent Pennix,0,0,0,0,0,0,0,0,0,0,0
196,Anthony Grant,0,0,0,0,0,0,0,0,0,0,0
197,Markese Stepp,0,0,0,0,0,0,0,0,0,0,0
198,Mathieu Severance,0,0,0,0,0,0,0,0,0,0,0
199,Samson Evans,0,0,0,0,0,0,0,0,0,0,0
200,La'Damian Webb,0,0,0,0,0,0,0,0,0,0,0
201,Michael Herzog,0,0,0,0,0,0,0,0,0,0,0
202,Lorenzo Lingard,0,0,0,0,0,0,0,0,0,0,0
203,Jalen Jackson,0,0,0,0,0,0,0,0,0,0,0
204,Justin Strong,0,0,0,0,0,0,0,0,0,0,0
205,Colson Yankoff,0,0,0,0,0,0,0,0,0,0,0
206,British Brooks,0,0,0,0,0,0,0,0,0,0,0
207,Trey Potts,0,0,0,0,0,0,0,0,0,0,0
208,Jarveon Howard,0,0,0,0,0,0,0,0,0,0,0
209,TaMerik Williams,0,0,0,0,0,0,0,0,0,0,0
210,Kobe Lewis,0,0,0,0,0,0,0,0,0,0,0
211,TD Ayo-Durojaiye,0,0,0,0,0,0,0,0,0,0,0
212,Ian Wheeler,0,0,0,0,0,0,0,0,0,0,0
213,Nathaniel Peat,0,0,0,0,0,0,0,0,0,0,0
214,Jordan Terrell,0,0,0,0,0,0,0,0,0,0,0
215,Chris Collier,0,0,0,0,0,0,0,0,0,0,0
216,Dylan Laube,0,0,0,0,0,0,0,0,0,0,0
217,Jonathon Brooks,0,0,0,0,0,0,0,0,0,0,0
218,Henry Pearson,0,0,0,0,0,0,0,0,0,0,0
219,Jordan Mims,0,0,0,2,0,0,0,0,0,0,0
220,Isaiah Davis,0,0,0,0,0,0,0,0,0,0,0
221,Ellis Merriweather,0,0,0,0,0,0,0,0,0,0,0
222,Owen Wright,0,0,0,0,0,0,0,0,0,0,0
223,Deneric Prince,0,0,0,0,0,0,0,0,0,0,0
224,Zavier Scott,0,0,0,0,0,0,0,0,0,0,0
225,Robert Burns,0,0,0,0,0,0,0,0,0,0,0
226,Hassan Hall,0,0,0,0,0,0,0,0,0,0,0
227,Frank Gore Jr.,0,0,0,0,0,0,0,0,0,0,0
228,Bucky Irving,0,0,0,0,0,0,0,0,0,0,0
229,Jaylen Wright,0,0,0,0,0,0,0,0,0,0,0
230,Daijun Edwards,0,0,0,0,0,0,0,0,0,0,0
231,Rasheen Ali,0,0,0,0,0,0,0,0,0,0,0
232,George Holani,0,0,0,0,0,0,0,0,0,0,0
233,D.J. Williams,0,0,0,0,0,0,0,0,0,0,0
234,Keilan Robinson,0,0,0,0,0,0,0,0,0,0,0
235,Jase McClellan,0,0,0,0,0,0,0,0,0,0,0
236,Javian Hawkins,0,0,0,0,0,0,0,0,0,0,0
237,Will Shipley,0,0,0,0,0,0,0,0,0,0,0
238,Snoop Conner,0,0,0,0,0,0,0,0,0,0,0
239,Blake Corum,0,0,0,0,0,0,0,0,0,0,0
240,Tyrone Tracy Jr.,0,0,0,0,0,0,0,0,0,0,0
241,Kendall Milton,0,0,0,0,0,0,0,0,0,0,0
242,Audric Estime,0,0,0,0,0,0,0,0,0,0,0
243,Tyler Badie,0,0,0,0,0,0,0,0,0,0,0
244,Hassan Haskins,0,0,0,0,0,0,0,0,0,0,0
245,Bryant Koback,0,0,0,0,0,0,0,0,0,0,0
246,Malik Davis,0,0,0,0,0,0,0,0,0,0,0
247,Zander Horvath,0,0,0,0,0,0,0,0,0,0,0
248,MarShawn Lloyd,0,0,0,0,0,0,0,0,0,0,0
249,Noah Cain,0,0,0,0,0,0,0,0,0,0,0
250,Steele Chambers,0,0,0,0,0,0,0,0,0,0,0
251,Avery Williams,0,0,0,0,0,0,0,0,0,0,0
252,Ben Mason,0,0,0,0,0,0,0,0,0,0,0
253,Sincere McCormick,0,0,0,0,0,0,0,0,0,0,0
254,Nick Bellore,0,0,0,0,0,0,0,0,0,0,0
255,Jay Finley,0,0,0,0,0,0,0,0,0,0,0
256,Shane Bannon,0,0,0,0,0,0,0,0,0,0,0
257,Kenny Irons,0,0,0,0,0,0,0,0,0,0,0
258,Anthony Alridge,0,0,0,0,0,0,0,0,0,0,0
259,Dantrell Savage,0,0,0,0,0,0,0,0,0,0,0
260,Chad Simpson,0,0,0,0,0,0,0,0,0,0,0
261,Garrett Mills,0,0,0,0,0,0,0,0,0,0,0
262,Xavier Omon,0,0,0,0,0,0,0,0,0,0,0
263,Samkon Gado,0,0,0,0,0,0,0,0,0,0,0
264,Madison Hedgecock,0,0,0,0,0,0,0,0,0,0,0
265,Taquan Mizzell,0,0,0,0,0,0,0,0,0,0,0
266,J.P. Holtz,0,0,0,0,0,0,0,0,0,0,0
267,Corey Clement,0,0,0,0,0,0,0,0,0,0,0
268,Jeremy McNichols,0,0,0,0,0,0,0,0,0,0,0
269,Marlon Mack,0,0,0,0,0,0,0,0,0,0,0
270,Patrick Laird,0,0,0,0,0,0,0,0,0,0,0
271,Qadree Ollison,0,0,0,0,0,0,0,0,0,0,0
272,John Kelly Jr.,0,0,0,0,0,0,0,0,0,0,0
273,Nyheim Hines,0,0,0,0,0,0,0,0,0,0,0
274,Myles Gaskin,0,0,0,0,0,0,0,0,0,0,0
275,Godwin Igwebuike,0,0,0,0,0,0,0,0,0,0,0
276,Brennan Clay,0,0,0,0,0,0,0,0,0,0,0
277,Willie Carter,0,0,0,0,0,0,0,0,0,0,0
278,Tim Flanders,0,0,0,0,0,0,0,0,0,0,0
279,Dwayne Washington,0,0,0,0,0,0,0,0,0,0,0
280,Terrell Jennings,0,0,0,0,0,0,0,0,0,0,0
